CodeRNCP;code;Libelle;;;
RNCP1036;312;Commerce, vente;;;
RNCP10361;122;Economie;;;
RNCP10362;136g;"Langues étrangères appliquées au tourisme, au commerce international, aux affaires, à la documentation ; Interprétariat et traduction";;;
RNCP10362;310p;Spécialités plurivalentes des échanges et de la gestion (organisation , gestion);;;
RNCP10362;320m;Spécialités plurivalentes de la communication et de l'information;;;
RNCP10364;128;Droit, sciences politiques;;;
RNCP10366;136g;"Langues étrangères appliquées au tourisme, au commerce international, aux affaires, à la documentation ; Interprétariat et traduction";;;
RNCP10366;310p;Spécialités plurivalentes des échanges et de la gestion (organisation , gestion);;;
RNCP10366;320m;Spécialités plurivalentes de la communication et de l'information;;;
RNCP10367;313m;Finances, banques, assurances (non indiquée ou autre);;;
RNCP10368;136g;"Langues étrangères appliquées au tourisme, au commerce international, aux affaires, à la documentation ; Interprétariat et traduction";;;
RNCP10368;310p;Spécialités plurivalentes des échanges et de la gestion (organisation , gestion);;;
RNCP10368;320m;Spécialités plurivalentes de la communication et de l'information;;;
RNCP10369;313;Finances, banque, assurances, immobilier;;;
RNCP10369;314;Comptabilite, gestion;;;
RNCP10369;315;Ressources humaines, gestion du personnel, gestion de l'emploi;;;
RNCP1037;320;Spécialites plurivalentes de la communication et de l'information;;;
RNCP10371;121g;Géographie de l'aménagement et du développement;;;
RNCP10371;341m;Aménagement du territoire, urbanisme;;;
